code,signal_date,buy_date,buy,sell_date,sell,pnl_pct,hold_days,exit_reason,platform,still_open
002311,2024-05-20,2024-05-21,50.02,2024-05-27,49.13,-1.7792882846861313,4,破平台止损,49.08,False
002594,2024-05-20,2024-05-21,72.23,2024-05-22,71.0,-1.7028935345424379,1,破平台止损,72.04,False
600436,2024-05-20,2024-05-21,229.77,2024-05-23,226.44,-1.449275362318847,2,破平台止损,230.02,False
601117,2024-05-20,2024-05-21,7.36,2024-06-12,7.6,3.2608695652173836,15,破MA20,7.18,False
000725,2024-05-21,2024-05-22,4.25,2024-05-24,4.13,-2.8235294117647136,2,破平台止损,4.25,False
600085,2024-05-21,2024-05-22,43.72,2024-05-23,42.61,-2.538883806038428,1,破平台止损,43.61,False
600585,2024-05-21,2024-05-22,22.43,2024-05-27,21.73,-3.120820329915286,3,破平台止损,21.98,False
605499,2024-05-21,2024-05-22,126.15,2024-05-29,123.03,-2.47324613555292,5,破MA20,119.81,False
600233,2024-05-23,2024-05-24,16.2,2024-05-28,16.0,-1.2345679012345623,2,破平台止损,16.09,False
601989,2024-05-24,2024-05-27,4.99,2024-05-28,4.97,-0.40080160320642433,1,破MA20,4.95,False
000001,2024-05-27,2024-05-28,9.66,2024-05-31,9.35,-3.209109730848869,3,破平台止损,9.38,False
002714,2024-05-27,2024-05-28,45.55,2024-06-03,44.21,-2.941822173435782,4,破平台止损,44.41,False
600887,2024-05-27,2024-05-28,25.34,2024-05-29,25.17,-0.6708760852407236,1,破平台止损,25.43,False
601111,2024-05-27,2024-05-28,7.68,2024-05-29,7.55,-1.692708333333337,1,破平台止损,7.65,False
601319,2024-05-27,2024-05-28,5.17,2024-05-29,5.11,-1.1605415860734936,1,破平台止损,5.17,False
002311,2024-05-29,2024-05-30,49.31,2024-05-31,49.02,-0.5881160008111896,1,破MA20,49.08,False
300498,2024-05-29,2024-05-30,20.7,2024-06-07,20.46,-1.159420289855062,6,破MA20,20.13,False
300750,2024-05-29,2024-05-30,190.59,2024-05-31,190.87,0.1469122199485806,1,破MA20,186.64,False
600309,2024-05-29,2024-05-30,87.16,2024-05-31,86.63,-0.6080770995869678,1,破MA20,83.6,False
000792,2024-05-30,2024-05-31,17.53,2024-06-03,17.27,-1.483171705647468,1,破平台止损,17.59,False
601628,2024-05-30,2024-05-31,30.56,2024-06-03,30.3,-0.8507853403141308,1,破平台止损,30.46,False
600023,2024-06-03,2024-06-04,6.12,2024-06-28,6.24,1.9607843137254832,17,破MA20,6.14,False
601989,2024-06-03,2024-06-04,5.04,2024-06-06,5.04,0.0,2,破MA20,4.95,False
002714,2024-06-04,2024-06-05,45.75,2024-06-07,45.0,-1.6393442622950838,2,破MA20,44.41,False
600236,2024-06-04,2024-06-05,6.67,2024-06-17,6.47,-2.998500749625188,7,破MA20,6.44,False
600875,2024-06-06,2024-06-07,17.8,2024-06-14,17.23,-3.2022471910112427,4,破平台止损,17.37,False
688036,2024-09-27,2024-09-30,92.28,2024-10-17,84.78,-8.12743823146944,8,破MA20,83.94,False
600660,2024-10-14,2024-10-15,54.24,2024-10-16,53.35,-1.6408554572271417,1,破平台止损,54.62,False
600926,2024-10-16,2024-10-17,13.33,2024-10-23,13.16,-1.275318829707428,4,破平台止损,13.19,False
000425,2024-10-18,2024-10-21,7.5,2024-10-22,7.32,-2.399999999999991,1,破平台止损,7.51,False
600660,2024-10-21,2024-10-22,54.98,2024-11-01,53.59,-2.528192069843571,8,破平台止损,54.62,False
002001,2024-10-22,2024-10-23,22.96,2024-10-28,21.57,-6.054006968641112,3,破平台止损,21.66,False
601658,2024-10-22,2024-10-23,5.17,2024-10-29,5.05,-2.3210831721470093,4,破平台止损,5.08,False
600919,2024-10-23,2024-10-24,8.26,2024-11-12,8.18,-0.9685230024213065,13,破MA20,7.9,False
601668,2024-10-23,2024-10-24,6.14,2024-10-25,6.04,-1.6286644951139961,1,破平台止损,6.11,False
688256,2024-10-28,2024-10-29,289.03,2024-11-04,274.2,-5.13095526415942,4,破平台止损,288.16,False
300394,2024-11-04,2024-11-05,64.29,2024-11-15,64.15,-0.21776326022709958,8,破MA20,62.28,False
600438,2024-11-04,2024-11-05,30.3,2024-11-15,28.74,-5.148514851485153,8,破平台止损,29.31,False
001289,2024-11-05,2024-11-06,17.45,2024-11-07,17.27,-1.0315186246418362,1,破平台止损,17.49,False
600660,2024-11-05,2024-11-06,54.51,2024-11-07,53.88,-1.1557512383048918,1,破平台止损,54.62,False
