code,signal_date,buy_date,buy,sell_date,sell,pnl_pct,exit_reason,platform,signal_type,still_open,trimmed,hold_days
300316,2021-10-25,2021-10-26,70.82,2021-11-17,70.44,-0.686571589946333,E1,68.25,entry_A,False,False,22
603659,2021-10-25,2021-10-26,61.2,2021-11-02,56.38,-8.025816993464058,E1,58.64,entry_A,False,False,7
300274,2021-10-27,2021-10-28,121.31,2021-11-01,112.02,-7.808066111614881,E1,115.33,entry_A,False,False,4
000776,2021-12-08,2021-12-09,23.16,2021-12-13,22.47,-3.1292746113989742,E1,22.43,entry_A,False,False,4
002180,2021-12-08,2021-12-09,45.85,2022-03-08,43.27,-5.777044711014174,E1,41.42,entry_A,False,False,89
002756,2021-12-08,2021-12-09,88.14,2021-12-24,78.07,-11.575005672793287,E1,79.47,entry_A,False,False,15
600406,2021-12-08,2021-12-09,26.95,2021-12-13,25.73,-4.676901669758809,E1,25.69,entry_A,False,False,4
600522,2021-12-08,2021-12-09,15.47,2021-12-27,15.12,0.9165804783451693,E1(含T1减半),15.57,entry_A,False,True,18
600039,2021-12-10,2021-12-13,6.88,2021-12-24,6.58,-4.510465116279066,E1,6.62,entry_A,False,False,11
000776,2021-12-14,2021-12-15,22.33,2021-12-16,22.43,0.2978280340349361,E1,22.43,entry_A,False,False,1
603198,2021-12-14,2021-12-15,65.29,2021-12-30,59.71,-8.696484913463015,E1,60.23,entry_A,False,False,15
688536,2021-12-14,2021-12-15,607.55,2021-12-23,543.5,-10.692342194058098,E1,545.89,entry_A,False,False,8
002459,2021-12-15,2021-12-16,44.3,2021-12-21,40.63,-8.43442437923249,E1,44.67,entry_A,False,False,5
300207,2021-12-15,2021-12-16,44.76,2021-12-17,43.86,-2.1607238605898136,E1,44.47,entry_A,False,False,1
600011,2021-12-16,2021-12-17,8.3,2022-01-07,7.44,-1.8969879518072381,E1(含T1减半),7.57,entry_A,False,True,21
688599,2021-12-16,2021-12-17,80.08,2021-12-21,70.12,-12.587562437562433,E1,74.7,entry_A,False,False,4
000408,2021-12-21,2021-12-22,27.97,2021-12-27,27.13,-3.153217733285668,E1,27.89,entry_A,False,False,5
600563,2021-12-22,2021-12-23,212.15,2021-12-24,208.76,-1.7479259957577207,E1,212.96,entry_A,False,False,1
688065,2021-12-22,2021-12-23,125.4,2022-01-07,122.6,-2.3828548644338197,E1,121.23,entry_A,False,False,15
600406,2021-12-23,2021-12-24,28.26,2021-12-27,27.95,-1.2469568294409092,E1,28.33,entry_A,False,False,3
688599,2021-12-23,2021-12-24,74.98,2021-12-27,70.79,-5.7381568418244875,E1,74.7,entry_A,False,False,3
002459,2021-12-27,2021-12-28,44.55,2022-01-05,44.54,-0.17244668911335345,E1,44.67,entry_A,False,False,8
000408,2021-12-28,2021-12-29,31.15,2022-01-13,27.31,-12.477447833065808,E1,27.89,entry_A,False,False,15
600522,2021-12-28,2021-12-29,15.75,2022-01-05,15.74,-0.21349206349206548,E1,15.57,entry_A,False,False,7
600765,2021-12-28,2021-12-29,30.91,2022-03-09,26.99,-12.83197994176642,E2,24.96,entry_A,False,False,70
000723,2021-12-30,2021-12-31,16.69,2022-01-12,15.37,-8.05892750149792,E1,15.65,entry_A,False,False,12
600039,2021-12-31,2022-01-04,6.82,2022-01-06,6.41,-6.161730205278598,E1,6.62,entry_A,False,False,2
603198,2021-12-31,2022-01-04,59.94,2022-01-05,57.22,-4.687871204537869,E1,60.23,entry_A,False,False,1
601225,2022-06-06,2022-06-07,13.51,2022-11-02,14.56,7.622020725388606,E2,13.09,entry_A,False,False,148
601838,2022-06-06,2022-06-07,12.91,2022-07-22,13.0,0.5471340046475482,E1,12.89,entry_A,False,False,45
600233,2022-06-09,2022-06-10,19.58,2022-06-22,18.39,-6.227630234933596,E1,18.65,entry_A,False,False,12
601009,2022-06-14,2022-06-15,8.87,2022-06-17,8.73,-1.728354002254778,E1,8.93,entry_A,False,False,2
000733,2022-06-16,2022-06-17,120.33,2022-06-22,117.5,-2.501865702651046,E1,119.94,entry_A,False,False,5
002594,2022-06-16,2022-06-17,106.89,2022-07-04,107.51,0.43003555056600484,E1,106.02,entry_A,False,False,17
601898,2022-06-28,2022-06-29,8.73,2022-07-05,8.75,0.07909507445589839,E1,8.66,entry_A,False,False,6
000733,2022-06-30,2022-07-01,128.88,2022-07-11,127.93,-0.8871198013656044,E1,126.59,entry_A,False,False,10
600233,2022-06-30,2022-07-01,18.82,2022-07-04,18.72,-0.6813496280552666,E1,18.65,entry_A,False,False,3
600522,2022-07-01,2022-07-04,22.66,2022-07-26,22.78,6.579920564872015,E1(含T1减半),19.88,entry_A,False,True,22
002050,2022-07-04,2022-07-05,26.71,2022-07-07,25.88,-1.7224447772369975,E1(含T1减半),26.53,entry_A,False,True,2
002594,2022-07-06,2022-07-07,109.35,2022-07-12,103.62,-5.390054869684485,E1,106.02,entry_A,False,False,5
601898,2022-07-07,2022-07-08,8.77,2022-07-11,8.5,-3.228677309007982,E1,8.66,entry_A,False,False,3
002714,2022-07-08,2022-07-11,57.99,2022-07-18,57.04,-1.7882134850836393,E1,58.18,entry_A,False,False,7
002050,2022-07-13,2022-07-14,27.3,2022-07-21,27.1,1.5716117216117267,E1(含T1减半),26.53,entry_A,False,True,7
002459,2022-07-13,2022-07-14,52.15,2022-07-19,48.54,-7.072339405560885,E1,49.78,entry_A,False,False,5
605117,2022-07-14,2022-07-15,54.94,2022-11-01,60.96,10.152147797597381,E3(含T1减半),51.25,entry_A,False,True,109
300498,2022-07-18,2022-07-19,22.37,2022-07-29,21.08,-5.916651765757725,E1,21.56,entry_A,False,False,10
002594,2022-07-22,2022-07-25,105.57,2022-07-26,104.43,-1.2298522307473578,E1,106.02,entry_A,False,False,1
300763,2022-07-22,2022-07-25,232.91,2022-07-26,230.54,-1.1675604310677987,E1,232.52,entry_A,False,False,1
002050,2022-07-26,2022-07-27,27.67,2022-08-05,28.57,7.04190458980845,E1(含T1减半),26.53,entry_A,False,True,9
002594,2022-07-27,2022-07-28,106.54,2022-07-29,104.62,-1.9521400412990495,E1,106.02,entry_A,False,False,1
002459,2022-08-01,2022-08-02,52.5,2022-08-05,49.75,-5.388095238095242,E1,49.78,entry_A,False,False,3
002594,2022-08-01,2022-08-02,105.24,2022-08-03,105.82,0.40112124667426874,E1,106.02,entry_A,False,False,1
600522,2022-08-01,2022-08-02,21.6,2022-09-01,21.15,-2.233333333333348,E1,19.88,entry_A,False,False,30
601998,2022-12-06,2022-12-07,4.17,2022-12-08,4.12,-1.3490407673860836,E1,4.14,entry_A,False,False,1
600600,2022-12-08,2022-12-09,101.07,2022-12-13,100.66,-0.5556594439497352,E1,101.31,entry_A,False,False,4
601319,2022-12-08,2022-12-09,5.0,2022-12-12,4.91,-1.9500000000000015,E1,5.0,entry_A,False,False,3
601628,2022-12-08,2022-12-09,34.26,2022-12-13,33.73,-1.6969935785172194,E1,34.4,entry_A,False,False,4
002603,2022-12-12,2022-12-13,47.59,2022-12-15,41.5,-12.946806051691533,E1,44.97,entry_A,False,False,2
601998,2022-12-13,2022-12-14,4.18,2022-12-16,4.11,-1.8246411483253397,E1,4.14,entry_A,False,False,2
600050,2022-12-16,2022-12-19,4.31,2022-12-20,4.1,-5.022389791183296,E1,4.29,entry_A,False,False,1
601021,2022-12-21,2022-12-22,62.97,2023-02-01,58.09,-7.8997220898840705,E1,58.13,entry_A,False,False,41
600050,2022-12-23,2022-12-26,4.29,2022-12-29,4.13,-3.8796037296037365,E1,4.29,entry_A,False,False,3
600600,2022-12-23,2022-12-26,99.83,2022-12-27,99.46,-0.5206300711209143,E1,101.31,entry_A,False,False,1
601628,2022-12-23,2022-12-26,34.66,2022-12-27,34.21,-1.4483266012694616,E1,34.4,entry_A,False,False,1
601628,2022-12-28,2022-12-29,34.81,2023-01-11,34.73,-0.3798190175237136,E1,34.4,entry_A,False,False,13
601728,2023-01-04,2023-01-05,3.84,2023-01-06,3.82,-0.6708333333333371,E1,3.84,entry_A,False,False,1
600050,2023-01-10,2023-01-11,4.5,2023-02-09,4.38,-2.8166666666666726,E1,4.29,entry_A,False,False,29
601998,2023-01-11,2023-01-12,4.15,2023-02-01,4.14,-0.3909638554217053,E1,4.14,entry_A,False,False,20
603369,2023-01-13,2023-01-16,53.26,2023-03-20,52.63,-1.332876455125792,E1,51.16,entry_A,False,False,63
600009,2023-01-18,2023-01-19,61.29,2023-01-20,59.94,-2.3526431718061733,E1,60.35,entry_A,False,False,1
600845,2023-02-03,2023-02-06,32.38,2023-02-13,31.37,-3.2692093885114346,E1,31.36,entry_A,False,False,7
601699,2023-02-03,2023-02-06,15.29,2023-02-13,14.89,-2.7660889470241865,E1,14.97,entry_A,False,False,7
601021,2023-02-06,2023-02-07,58.29,2023-02-08,58.6,0.38182364041859385,E1,58.13,entry_A,False,False,1
600309,2023-02-09,2023-02-10,90.44,2023-03-16,90.51,-0.07260061919504554,E1,90.85,entry_A,False,False,34
601728,2023-02-09,2023-02-10,4.4,2023-02-13,4.36,-1.0590909090909149,E1,4.41,entry_A,False,False,3
601021,2023-02-10,2023-02-13,61.95,2023-03-16,56.73,-8.57615012106539,E1,58.13,entry_A,False,False,31
600009,2023-02-14,2023-02-15,60.61,2023-02-16,59.75,-1.5689077709948815,E1,60.35,entry_A,False,False,1
600845,2023-02-14,2023-02-15,31.44,2023-02-20,30.94,-1.7403307888040729,E1,31.36,entry_A,False,False,5
600845,2023-02-22,2023-02-23,31.46,2023-02-24,31.01,-1.580387794024157,E1,31.36,entry_A,False,False,1
000063,2023-02-24,2023-02-27,28.24,2023-08-21,33.32,17.838668555240794,E2,28.51,entry_A,False,False,175
000425,2023-02-24,2023-02-27,6.35,2023-03-16,6.26,-1.5673228346456622,E1,6.13,entry_A,False,False,17
605499,2023-02-24,2023-02-27,112.81,2023-03-07,112.37,-0.5400363442957189,E1,111.38,entry_A,False,False,8
000568,2023-02-27,2023-02-28,223.1,2023-03-01,221.77,-0.746145226355882,E1,222.92,entry_A,False,False,1
600845,2023-02-27,2023-02-28,32.79,2023-09-06,36.49,11.133928026837465,E2,31.36,entry_A,False,False,190
601699,2023-03-01,2023-03-02,16.76,2023-03-15,15.89,-5.34093078758951,E1,15.87,entry_A,False,False,13
601601,2023-03-02,2023-03-03,26.1,2023-03-08,24.7,-5.513984674329514,E1,25.03,entry_A,False,False,5
688111,2023-03-02,2023-03-03,301.2,2023-03-06,297.1,-1.5112217795484604,E1,301.71,entry_A,False,False,3
688256,2023-03-02,2023-03-03,64.37,2023-05-11,135.21,91.87268137331053,E3(含T1减半),58.68,entry_A,False,True,69
000938,2023-03-06,2023-03-07,25.68,2023-03-08,24.7,-3.966199376947038,E1,25.14,entry_A,False,False,1
600050,2023-03-08,2023-03-09,5.35,2023-03-13,5.16,-3.7014018691588655,E1,5.39,entry_A,False,False,4
