scope,dimension,group_value,horizon,sample_n,wins,win_rate,mean_return,median_return,mean_excess,median_excess,mean_mdd,median_mdd,p10_mdd,inference_allowed
all,volume_bucket,lt_0_8,1,25536,11307,0.442786654135,-0.00076829129401,-0.00173913043478,-0.000317893869763,-0.00178285499665,-0.00849736938327,-0.00173913043478,-0.0252725923554,1
all,volume_bucket,lt_0_8,5,25536,11879,0.465186403509,-0.00123910575483,-0.00273411949392,-7.19769303862e-05,-0.00304856811626,-0.0358258961912,-0.0276290804302,-0.0753911268926,1
all,volume_bucket,lt_0_8,10,25536,12071,0.472705200501,-0.000101483027283,-0.00346911981911,0.00020425421412,-0.00434905499687,-0.0583404825582,-0.04694247877,-0.114328318643,1
all,volume_bucket,lt_0_8,20,25536,11865,0.464638157895,0.000917134084417,-0.00658079021082,0.00122383175234,-0.007733077,-0.0901105620295,-0.0765747956158,-0.168063930266,1
within_one_pct,heat,hot,1,5985,2689,0.449289891395,-0.000668044308629,-0.00162866449511,-0.000588222852094,-0.00213905556919,-0.00893783159956,-0.00162866449511,-0.0263241249488,1
within_one_pct,heat,hot,5,5985,2731,0.456307435255,-9.75925793802e-05,-0.00391877449234,0.000780276562313,-0.00308703934055,-0.0375890827226,-0.0291545189504,-0.0791376370051,1
within_one_pct,heat,hot,10,5985,2839,0.474352548037,0.00432577385118,-0.00329411764706,0.00377272050395,-0.00439716215719,-0.0594353434168,-0.0482727064745,-0.115378810523,1
within_one_pct,heat,hot,20,5985,2819,0.471010860485,0.00579655148003,-0.00564971751412,0.00430394141818,-0.00911640684614,-0.0917187029215,-0.0783450704225,-0.168415528194,1
within_one_pct,heat,warm,1,37167,16610,0.446901821508,-8.29156533744e-05,-0.00134589502019,0.000166786042571,-0.00137867826479,-0.00745799269396,-0.00134589502019,-0.0223374894298,1
within_one_pct,heat,warm,5,37167,17672,0.475475556273,0.000645758839289,-0.00149059726192,0.000720778233857,-0.00220402490247,-0.0318384115877,-0.0243002153184,-0.0668827721308,1
within_one_pct,heat,warm,10,37167,18149,0.488309521888,0.00260924029629,-0.000858000858001,0.00158541241125,-0.00278142972139,-0.0523432103565,-0.04125,-0.103354487761,1
within_one_pct,heat,warm,20,37167,18120,0.487529259827,0.00570201027991,-0.00183823529412,0.00276848439864,-0.00426019158255,-0.081322710206,-0.0676202860858,-0.153817131237,1
within_one_pct,overall,all,1,43152,19299,0.447233036707,-0.000164070524567,-0.00137907261468,6.20695002426e-05,-0.00146086069932,-0.00766324009501,-0.00137907261468,-0.0228808020383,1
within_one_pct,overall,all,5,43152,20403,0.47281701891,0.000542659139606,-0.00174672622317,0.000729030400519,-0.00230484811233,-0.0326360053665,-0.0248995983936,-0.068415577468,1
within_one_pct,overall,all,10,43152,20988,0.48637374861,0.00284731624471,-0.0012448790057,0.00188878279813,-0.00299202194549,-0.0533268592341,-0.0423056583818,-0.105090725806,1
within_one_pct,overall,all,20,43152,20939,0.48523822766,0.00571512274475,-0.00231878800436,0.002981445797,-0.00474521002089,-0.0827645904526,-0.0689910138288,-0.156017830609,1
within_one_pct,streak_group,5,1,2302,1051,0.456559513467,-0.000238407422397,-0.0011013137392,2.14882498634e-05,-0.00123554265535,-0.0081802949262,-0.0011013137392,-0.0247202474861,1
within_one_pct,streak_group,5,5,2302,1095,0.475673327541,0.000954833872689,-0.00161943426015,0.00147555727743,-0.00125259452998,-0.034104655299,-0.0255007337534,-0.0712006893194,1
within_one_pct,streak_group,5,10,2302,1161,0.504344048653,0.00415996821972,0.00105736180826,0.00301717184976,-0.00201134899249,-0.0551556889983,-0.043445232982,-0.109416293369,1
within_one_pct,streak_group,5,20,2302,1200,0.521285838401,0.0111811567037,0.00484416903991,0.00671106053304,-0.000346700935697,-0.084492653786,-0.0692987483916,-0.158484018382,1
