params_id,chandelier_atr,cluster_hits,initial_stop_atr,weights,annual_excess,annual_return,benchmark_annual_return,ending_equity,expectancy,halted,max_dd,open_trades,profit_factor,trades,win_rate,selected
h3-s3-c3p5-wbase,3.5,3,3.0,base,-2.3020646768021624,2.1603744553162496,4.462439132118412,580532.6103096666,10.585308477944443,True,20.03062151695684,0,2.342661796205239,68,44.11764705882353,False
h3-s3-c3p5-wrs_heavy,3.5,3,3.0,rs_heavy,-2.4717824630078766,1.9906566691105354,4.462439132118412,573827.548725945,10.998839152657139,True,19.07796779809375,0,2.4567583260458097,68,50.0,False
h3-s3-c3p5-wcluster_heavy,3.5,3,3.0,cluster_heavy,-2.4535037155885675,2.0089354165298445,4.462439132118412,574546.4858115322,10.856225961139263,True,18.59250731504495,0,2.3517535701075136,74,47.2972972972973,False
h4-s2-c2p5-wbase,2.5,4,2.0,base,-2.7702315698494573,1.6922075622689547,4.462439132118412,562197.5597310886,8.125839486990438,True,19.040195807806423,0,2.5673769991349245,96,50.0,False
h4-s2-c2p5-wrs_heavy,2.5,4,2.0,rs_heavy,-3.24729591784938,1.2151432142690322,4.462439132118412,544026.7384610047,8.303107771109035,True,18.540701930195677,0,2.488743741186749,87,48.275862068965516,False
h4-s2-c2p5-wcluster_heavy,2.5,4,2.0,cluster_heavy,-2.4128879683791515,2.0495511637392605,4.462439132118412,576146.7419963656,7.0722082542891265,True,18.380270223143704,0,2.2695920546714756,98,45.91836734693878,False
h4-s2-c3-wbase,3.0,4,2.0,base,-3.9167565684226524,0.5456825636957596,4.462439132118412,519377.6480893376,8.292118828379175,True,8.814930394413905,0,2.167860155421932,22,40.909090909090914,False
h4-s2-c3-wrs_heavy,3.0,4,2.0,rs_heavy,-3.9167565684226524,0.5456825636957596,4.462439132118412,519377.6480893376,8.292118828379175,True,8.814930394413905,0,2.167860155421932,22,40.909090909090914,False
h4-s2-c3-wcluster_heavy,3.0,4,2.0,cluster_heavy,-3.866242185961344,0.5961969461570682,4.462439132118412,521203.5545673216,8.286061373919374,True,8.781334579787787,0,2.1670070248948257,22,40.909090909090914,False
h4-s2-c3p5-wbase,3.5,4,2.0,base,-4.268359012966028,0.19408011915238443,4.462439132118412,506819.70305045665,11.677462137812205,True,8.426265222833319,0,2.4749781904038617,19,42.10526315789473,False
h4-s2-c3p5-wrs_heavy,3.5,4,2.0,rs_heavy,-4.268359012966028,0.19408011915238443,4.462439132118412,506819.70305045665,11.677462137812205,True,8.426265222833319,0,2.4749781904038617,19,42.10526315789473,False
h4-s2-c3p5-wcluster_heavy,3.5,4,2.0,cluster_heavy,-3.9232356035274973,0.5392035285909147,4.462439132118412,519143.85221995873,17.414165997355695,True,9.616416904293281,0,3.662406789301342,23,47.82608695652174,False
h4-s2p5-c2p5-wbase,2.5,4,2.5,base,-4.24930150624494,0.21313762587347185,4.462439132118412,507493.6337520954,5.640172222143269,True,8.389962886745577,0,1.8718563155525254,28,39.285714285714285,False
h4-s2p5-c2p5-wrs_heavy,2.5,4,2.5,rs_heavy,-4.24930150624494,0.21313762587347185,4.462439132118412,507493.6337520955,5.640172222143269,True,8.389962886745577,0,1.8718563155525254,28,39.285714285714285,False
h4-s2p5-c2p5-wcluster_heavy,2.5,4,2.5,cluster_heavy,-4.24930150624494,0.21313762587347185,4.462439132118412,507493.6337520955,5.640172222143269,True,8.389962886745577,0,1.8718563155525254,28,39.285714285714285,False
h4-s2p5-c3-wbase,3.0,4,2.5,base,-3.541728421235435,0.9207107108829771,4.462439132118412,533065.2144925271,12.838655325996113,True,8.43036349865885,0,3.0150239957074936,26,42.30769230769231,False
h4-s2p5-c3-wrs_heavy,3.0,4,2.5,rs_heavy,-3.5509970249535616,0.9114421071648504,4.462439132118412,532723.2465413663,16.377002696415534,True,8.388788899057126,0,3.669227061899215,27,44.44444444444444,False
h4-s2p5-c3-wcluster_heavy,3.0,4,2.5,cluster_heavy,-3.541728421235435,0.9207107108829771,4.462439132118412,533065.2144925271,12.838655325996113,True,8.43036349865885,0,3.0150239957074936,26,42.30769230769231,False
h4-s2p5-c3p5-wbase,3.5,4,2.5,base,-3.5114399919513595,0.9509991401670526,4.462439132118412,534184.02731493,16.282022024011912,True,9.094945499524032,0,3.407046264758815,22,50.0,False
h4-s2p5-c3p5-wrs_heavy,3.5,4,2.5,rs_heavy,-3.5114399919513373,0.9509991401670748,4.462439132118412,534184.0273149301,16.282022024011912,True,9.09494549952402,0,3.407046264758815,22,50.0,False
h4-s2p5-c3p5-wcluster_heavy,3.5,4,2.5,cluster_heavy,-2.553242249351695,1.9091968827667172,4.462439132118412,570632.9486298573,19.55737354324036,True,9.014017382081656,0,3.8912565568530115,22,50.0,False
h4-s3-c2p5-wbase,2.5,4,3.0,base,-2.487733107999923,1.9747060241184888,4.462439132118412,573200.8102087413,8.340150466762552,True,14.446180674161743,0,2.6013814520349627,84,50.0,False
h4-s3-c2p5-wrs_heavy,2.5,4,3.0,rs_heavy,-3.1679550041674,1.2944841279510122,4.462439132118412,547013.36982878,7.582420804939181,True,17.920927509747813,0,2.3090013437840566,80,46.25,False
h4-s3-c2p5-wcluster_heavy,2.5,4,3.0,cluster_heavy,-2.5671946015597857,1.8952445305586263,4.462439132118412,570087.3122044926,7.851491563096854,True,14.409214449231905,0,2.5329955329155025,77,49.35064935064935,False
h4-s3-c3-wbase,3.0,4,3.0,base,-2.9334392366183515,1.5289998955000605,4.462439132118412,555923.5332162685,7.4894304917824766,True,19.631689170186046,0,2.055794415079022,86,52.32558139534884,False
h4-s3-c3-wrs_heavy,3.0,4,3.0,rs_heavy,-3.6132450865252963,0.8491940455931157,4.462439132118412,530431.4521999888,9.808526697683444,True,20.92866270047454,0,2.5076978835746355,78,55.12820512820513,False
h4-s3-c3-wcluster_heavy,3.0,4,3.0,cluster_heavy,-2.934868755472464,1.527570376645948,4.462439132118412,555868.84585368,9.720758420554349,True,20.280768909208927,0,2.5423305844107382,78,52.56410256410257,False
h4-s3-c3p5-wbase,3.5,4,3.0,base,-1.6054725579272233,2.8569665741911887,4.462439132118412,608761.0986255639,10.295613311787369,True,15.852911206908388,0,2.3718262243346877,59,44.06779661016949,True
h4-s3-c3p5-wrs_heavy,3.5,4,3.0,rs_heavy,-2.5811874850099947,1.8812516471084173,4.462439132118412,569540.5397923522,9.139880684842606,True,19.226485128948735,0,2.174797928233771,65,47.69230769230769,False
h4-s3-c3p5-wcluster_heavy,3.5,4,3.0,cluster_heavy,-2.3744237369530907,2.0880153951653213,4.462439132118412,577665.748247898,9.638611875310172,True,20.172375396622186,0,2.28267568878182,80,48.75,False
