params_id,chandelier_atr,cluster_hits,initial_stop_atr,weights,annual_excess,annual_return,benchmark_annual_return,ending_equity,expectancy,halted,max_dd,open_trades,profit_factor,trades,win_rate,selected
h2-s2p5-c2p5-wcluster_heavy,2.5,2,2.5,cluster_heavy,-3.6287757434012136,0.8336633887171985,4.462439132118412,529860.976823342,10.089261243791965,True,18.142412295029377,0,2.8616634894201973,96,47.91666666666667,False
h2-s2p5-c3-wbase,3.0,2,2.5,base,-3.1902716474456305,1.2721674846727815,4.462439132118412,546171.8874040738,10.105684467154399,True,19.707502716844683,0,2.6237288103277066,77,53.246753246753244,False
h2-s2p5-c3-wrs_heavy,3.0,2,2.5,rs_heavy,-3.336803099274843,1.1256360328435688,4.462439132118412,540674.2015303528,6.6111860530179065,True,20.71641770636578,0,1.839478616443062,81,44.44444444444444,False
h2-s2p5-c3-wcluster_heavy,3.0,2,2.5,cluster_heavy,-3.003812006751594,1.4586271253668182,4.462439132118412,553236.8340746837,9.383273201323043,True,19.833565632196944,0,2.2544391440481197,70,48.57142857142857,False
h2-s2p5-c3p5-wbase,3.5,2,2.5,base,-1.765990524715888,2.696448607402524,4.462439132118412,602154.1803259143,14.846237845362245,True,19.550207219495604,0,3.4063665198259723,73,53.42465753424658,False
h2-s2p5-c3p5-wrs_heavy,3.5,2,2.5,rs_heavy,-2.3214305682773384,2.1410085638410736,4.462439132118412,579764.1425580198,12.117641027091215,True,19.303046189566786,0,2.7754718858356826,77,45.45454545454545,False
h2-s2p5-c3p5-wcluster_heavy,3.5,2,2.5,cluster_heavy,-1.6241586423580978,2.838280489760314,4.462439132118412,607988.7991198985,13.065882710384804,True,18.194692633215087,0,3.166284205026878,81,51.85185185185185,False
h2-s3-c2p5-wbase,2.5,2,3.0,base,-3.6450252758748025,0.8174138562436095,4.462439132118412,529264.6584316387,5.018980625818702,True,20.08353178796914,0,1.6938927421949248,100,38.0,False
h2-s3-c2p5-wrs_heavy,2.5,2,3.0,rs_heavy,-3.8349540172879726,0.6274851148304394,4.462439132118412,522337.26141801075,6.37319534797054,True,19.643888926871266,0,1.8581325891418794,94,41.48936170212766,False
h2-s3-c2p5-wcluster_heavy,2.5,2,3.0,cluster_heavy,-5.724930015046614,-1.2624908829282022,4.462439132118412,457527.21386786754,1.555464843517775,True,29.919027604339774,0,1.169514923106795,121,36.36363636363637,False
h2-s3-c3-wbase,3.0,2,3.0,base,-3.729472284222912,0.7329668478954998,4.462439132118412,526174.9090956654,11.392344418837048,True,20.083786598878916,0,2.8135045117289663,74,52.702702702702695,False
h2-s3-c3-wrs_heavy,3.0,2,3.0,rs_heavy,-5.937733745740914,-1.475294613622502,4.462439132118412,450681.7402375466,4.914374396745455,True,31.28325452862843,0,1.5678222018789911,102,41.17647058823529,False
h2-s3-c3-wcluster_heavy,3.0,2,3.0,cluster_heavy,-3.4815214968224373,0.9809176352959748,4.462439132118412,535291.1500773671,11.177762609837798,True,19.252186707158373,0,2.78761366665522,74,55.4054054054054,False
