entry_date,entry_price,entry_shares,exit_date,exit_price,exit_reason,hold_days,industry,initial_atr,initial_stop,legs,period,platform,pnl_pct,score,signal_date,signal_kind,still_open,ts_code
2018-01-08,16.308001495606653,400,2018-01-30,13.642650161578933,close 13.7512 <= stop 14.0262,22,801081.SI,1.0078976711267793,13.709777528510003,"[{""action"":""exit"",""forced"":false,""price"":13.642650161578933,""proceeds"":5452.9672695831,""reason"":""close 13.7512 <= stop 14.0262"",""rolled"":0,""shares"":400,""trade_date"":""2018-01-30""}]",2015-2021,15.72557287076356,-16.46921588469664,80.86230124492621,2018-01-05,shallow,False,600460.SH
2017-09-26,21.664225751353708,100,2018-01-30,23.394401642620924,close 24.2494 <= stop 26.883,126,801102.SI,0.6496574844641494,19.73208380274012,"[{""action"":""trim_third"",""forced"":false,""price"":27.494312606752192,""proceeds"":906.6318317858052,""reason"":""gain reached 2.5R"",""rolled"":0,""shares"":33,""trade_date"":""2017-11-10""},{""action"":""exit"",""forced"":false,""price"":23.394401642620924,""proceeds"":1566.2493413730601,""reason"":""close 24.2494 <= stop 26.883"",""rolled"":0,""shares"":67,""trade_date"":""2018-01-30""}]",2015-2021,21.03139877166842,14.060291403572855,80.16248811223137,2017-09-25,shallow,False,600487.SH
2017-06-23,4.908214676889377,1500,2018-02-02,5.033326031398322,close 5.11032 <= stop 5.27441,224,801181.SI,0.27432227611745696,4.19596296875815,"[{""action"":""exit"",""forced"":false,""price"":5.033326031398322,""proceeds"":7544.32655531216,""reason"":""close 5.11032 <= stop 5.27441"",""rolled"":0,""shares"":1500,""trade_date"":""2018-02-02""}]",2015-2021,4.744607520993064,2.395311359617547,85.75862900943784,2017-06-22,shallow,False,600239.SH
2018-01-08,3.9113506441796315,2200,2018-02-02,3.881263331532096,close 3.88879 <= stop 3.92752,25,801179.SI,0.18116880208185232,3.3797232018429515,"[{""action"":""exit"",""forced"":false,""price"":3.881263331532096,""proceeds"":8532.375244873583,""reason"":""close 3.88879 <= stop 3.92752"",""rolled"":0,""shares"":2200,""trade_date"":""2018-02-02""}]",2015-2021,3.742060806006656,-0.9179653721247405,81.86488259047078,2018-01-05,shallow,False,600269.SH
2018-01-10,7.706665131806148,100,2018-02-07,7.909937262576264,close 7.68015 <= stop 7.71823,28,801181.SI,0.31595559456659394,6.995212674110742,"[{""action"":""exit"",""forced"":false,""price"":7.909937262576264,""proceeds"":790.4004809629331,""reason"":""close 7.68015 <= stop 7.71823"",""rolled"":0,""shares"":100,""trade_date"":""2018-02-07""}]",2015-2021,7.62712386324393,2.483773637661635,87.67340609181615,2018-01-09,shallow,False,000671.SZ
2017-11-16,9.368886980044744,1500,2018-02-07,12.389402923523013,close 12.0589 <= stop 12.1012,83,801151.SI,0.2807361371974607,8.59260777312675,"[{""action"":""trim_third"",""forced"":false,""price"":12.267128208086802,""proceeds"":6128.9639309653685,""reason"":""gain reached 2.5R"",""rolled"":0,""shares"":500,""trade_date"":""2017-11-22""},{""action"":""exit"",""forced"":false,""price"":12.389402923523013,""proceeds"":12380.110871330371,""reason"":""close 12.0589 <= stop 12.1012"",""rolled"":0,""shares"":1000,""trade_date"":""2018-02-07""}]",2015-2021,9.15408004752167,31.607261631965322,86.6161049114579,2017-11-15,shallow,False,002001.SZ
2018-01-08,8.563732368809426,1700,2018-02-08,8.438348293131396,close 8.50731 <= stop 8.57658,31,801765.SI,0.3510754118984829,7.874119952580262,"[{""action"":""exit"",""forced"":false,""price"":8.438348293131396,""proceeds"":14334.433204249632,""reason"":""close 8.50731 <= stop 8.57658"",""rolled"":0,""shares"":1700,""trade_date"":""2018-02-08""}]",2015-2021,8.576270776377228,-1.6118218802954831,81.65298507462687,2018-01-05,shallow,False,002027.SZ
2017-08-01,69.66713289484112,200,2018-02-08,92.40209208336636,close 92.5032 <= stop 93.0663,191,801125.SI,1.6899183770504802,64.94570409699658,"[{""action"":""trim_third"",""forced"":false,""price"":84.31302004913226,""proceeds"":5560.4858287502975,""reason"":""gain reached 2.5R"",""rolled"":0,""shares"":66,""trade_date"":""2017-10-12""},{""action"":""exit"",""forced"":false,""price"":92.40209208336636,""proceeds"":12372.593928916713,""reason"":""close 92.5032 <= stop 93.0663"",""rolled"":0,""shares"":134,""trade_date"":""2018-02-08""}]",2015-2021,68.32554085109754,28.608995971565456,83.78173005994346,2017-07-31,shallow,False,002304.SZ
2017-08-01,6.4985189224561015,100,2018-02-08,9.419522303413677,close 9.38146 <= stop 9.44045,191,801203.SI,0.2175862689497218,5.977714363616534,"[{""action"":""trim_third"",""forced"":false,""price"":7.8876605954847845,""proceeds"":260.0975800512596,""reason"":""gain reached 2.5R"",""rolled"":0,""shares"":33,""trade_date"":""2017-10-10""},{""action"":""exit"",""forced"":false,""price"":9.419522303413677,""proceeds"":630.6346633329698,""reason"":""close 9.38146 <= stop 9.44045"",""rolled"":0,""shares"":67,""trade_date"":""2018-02-08""}]",2015-2021,6.412886901515978,36.96423838782697,82.01966533814904,2017-07-31,shallow,False,601933.SH
2018-01-15,16.55879750507688,700,2018-02-09,16.490716565129098,close 17.0429 <= stop 17.2812,25,801181.SI,0.4314911517261392,15.439193501595588,"[{""action"":""trim_third"",""forced"":false,""price"":19.213954163040324,""proceeds"":4473.493681498404,""reason"":""gain reached 2.5R"",""rolled"":0,""shares"":233,""trade_date"":""2018-01-24""},{""action"":""exit"",""forced"":false,""price"":16.490716565129098,""proceeds"":7695.388762438352,""reason"":""close 17.0429 <= stop 17.2812"",""rolled"":0,""shares"":467,""trade_date"":""2018-02-09""}]",2015-2021,16.302175805047867,4.905500865214507,85.42745190295616,2018-01-12,shallow,False,001979.SZ
