params_id,chandelier_atr,cluster_hits,initial_stop_atr,weights,annual_excess,annual_return,benchmark_annual_return,ending_equity,ending_risk_pct,expectancy,max_dd,open_trades,profit_factor,reduced_risk,trades,win_rate,selected
h3-s2-c2p5-wcluster_heavy,2.5,3,2.0,cluster_heavy,-5.2493838908220125,-0.7869447587036005,4.462439132118412,473147.32911719254,0.0025,-0.5983752874015876,38.99507485775403,49,0.8991078221432746,True,1713,32.10741389375365,False
h3-s2-c3-wbase,3.0,3,2.0,base,-4.496321598315578,-0.03388246619716595,4.462439132118412,498817.5167543815,0.0025,-0.881028829539111,35.84967052581147,55,0.8680617442808344,True,1496,30.74866310160428,True
h3-s2-c3-wrs_heavy,3.0,3,2.0,rs_heavy,-3.297290229016814,1.1651489031015982,4.462439132118412,542151.9870646651,0.0025,-0.7063944236178015,35.3936791323757,55,0.8938534073504112,True,1522,30.814717477003946,False
h3-s2-c3-wcluster_heavy,3.0,3,2.0,cluster_heavy,-3.7435918563869075,0.7188472757315045,4.462439132118412,525659.8129865574,0.0025,-0.7511493023151742,36.5752027728316,60,0.8850944730361575,True,1519,31.007241606319948,False
h3-s2-c3p5-wbase,3.5,3,2.0,base,-3.9056412299874665,0.5567979021309455,4.462439132118412,519778.9550466329,0.0025,-0.9247526216046653,37.68676858133384,59,0.8689760907238493,True,1391,29.475197699496764,False
h3-s2-c3p5-wrs_heavy,3.5,3,2.0,rs_heavy,-3.688439626757156,0.7739995053612558,4.462439132118412,527674.2769750049,0.0025,-0.753414569913334,36.3940135422433,55,0.8935864340519148,True,1399,29.807005003573984,False
h3-s2-c3p5-wcluster_heavy,3.5,3,2.0,cluster_heavy,-2.4485152028884904,2.0139239292299216,4.462439132118412,574742.8272922979,0.0025,-0.3748695476191029,35.79902865116472,53,0.944399751826448,True,1347,30.58648849294729,False
h3-s2p5-c2p5-wbase,2.5,3,2.5,base,-6.093942393576168,-1.6315032614577563,4.462439132118412,445712.8470086261,0.0025,-1.0330019916956639,39.44299848274286,61,0.8366038254220093,True,1939,30.840639504899432,False
h3-s2p5-c2p5-wrs_heavy,2.5,3,2.5,rs_heavy,-6.6210882755587175,-2.1586491434403055,4.462439132118412,429289.5723901354,0.0025,-0.9224323025194763,39.254595986746004,67,0.8531297371163168,True,1951,31.060994361865713,False
h3-s2p5-c2p5-wcluster_heavy,2.5,3,2.5,cluster_heavy,-5.966341602537472,-1.5039024704190607,4.462439132118412,449768.2096017515,0.0025,-0.9864856661387684,37.62897459604992,57,0.8415561595252231,True,1928,31.275933609958507,False
h3-s2p5-c3-wbase,3.0,3,2.5,base,-2.470466828829454,1.991972303288958,4.462439132118412,573879.269303907,0.0025,-0.6067017665455902,34.811102183962674,61,0.9108711070779234,True,1597,31.684408265497808,False
h3-s2p5-c3-wrs_heavy,3.0,3,2.5,rs_heavy,-3.056892302554748,1.4055468295636642,4.462439132118412,551217.6970600821,0.0025,-0.37470310906116167,36.73994632750162,58,0.9453293644159511,True,1619,31.192093885114268,False
h3-s2p5-c3-wcluster_heavy,3.0,3,2.5,cluster_heavy,-3.289632610156512,1.1728065219619,4.462439132118412,542438.7828263954,0.0025,-0.9520591684459033,37.583941325880545,63,0.8586075291209914,True,1581,31.2460468058191,False
h3-s2p5-c3p5-wbase,3.5,3,2.5,base,-2.1957739438437374,2.2666651882746747,4.462439132118412,584765.9473374346,0.0025,-0.5397401014348067,36.44347895748142,60,0.9270681428226919,True,1439,30.993745656706047,False
h3-s2p5-c3p5-wrs_heavy,3.5,3,2.5,rs_heavy,-2.2892916791575235,2.1731474529608885,4.462439132118412,581039.939639068,0.0025,-0.6061679746021985,35.89208740946335,66,0.9167220420420942,True,1433,31.193300767620375,False
h3-s2p5-c3p5-wcluster_heavy,3.5,3,2.5,cluster_heavy,-0.962343138133237,3.500095993985175,4.462439132118412,635859.2172760101,0.0025,-0.20079468072179543,35.46299025370488,63,0.9719091310742496,True,1436,31.615598885793872,False
h3-s3-c2p5-wbase,2.5,3,3.0,base,-6.63402021753895,-2.1715810854205375,4.462439132118412,428893.284990515,0.0025,-1.0062611447367897,39.800614945796205,69,0.8402359989138198,True,2171,31.41409488714878,False
h3-s3-c2p5-wrs_heavy,2.5,3,3.0,rs_heavy,-6.310308648884,-1.8478695167655879,4.462439132118412,438907.9650790532,0.0025,-0.9083089763586526,39.58196306113568,69,0.8552400590107778,True,2176,31.479779411764707,False
h3-s3-c2p5-wcluster_heavy,2.5,3,3.0,cluster_heavy,-6.817804043324882,-2.35536491120647,4.462439132118412,423295.18860504264,0.0025,-0.952719762609699,40.59421579644761,68,0.846360266192083,True,2142,31.699346405228756,False
h3-s3-c3-wbase,3.0,3,3.0,base,-4.097543075522325,0.3648960565960868,4.462439132118412,512887.727089877,0.0025,-0.8906632576493817,40.4165143573771,60,0.8734182526661447,True,1784,31.2219730941704,False
h3-s3-c3-wrs_heavy,3.0,3,3.0,rs_heavy,-3.888609245339114,0.5738298867792979,4.462439132118412,520394.3914264471,0.0025,-0.8671329556867426,38.3592790533749,66,0.8778415697827109,True,1788,31.04026845637584,False
h3-s3-c3-wcluster_heavy,3.0,3,3.0,cluster_heavy,-3.6616409590401133,0.8007981730782987,4.462439132118412,528655.4979331191,0.0025,-0.9067411686991491,39.54184773634003,63,0.8699352360050026,True,1769,30.243075183719615,False
h3-s3-c3p5-wbase,3.5,3,3.0,base,-2.0640173779370663,2.3984217541813457,4.462439132118412,590050.2294725684,0.0025,-0.5516124329608448,37.645367732959066,73,0.9271686370711237,True,1580,31.0126582278481,False
h3-s3-c3p5-wrs_heavy,3.5,3,3.0,rs_heavy,-2.468278741471397,1.9941603906470151,4.462439132118412,573965.2968509637,0.0025,-0.6164306846885289,36.072275246875385,72,0.9172558126288487,True,1542,31.452658884565498,False
h3-s3-c3p5-wcluster_heavy,3.5,3,3.0,cluster_heavy,-1.3114874421588318,3.15095168995958,4.462439132118412,621022.6815215803,0.0025,-0.2009729679888955,38.21608467823175,70,0.9730832041302548,True,1543,31.756318859364875,False
h4-s2-c2p5-wbase,2.5,4,2.0,base,-5.388821554963419,-0.9263824228450068,4.462439132118412,468520.62860380515,0.0025,-0.8640548100068735,38.46343943517685,57,0.8605785387904735,True,1716,31.35198135198135,False
