buy_price,buy_value,direction,execution_date,fees,from_asset,from_weight,reasons,sell_price,sell_value,shares_after,shares_before,signal_date,target_weight,to_asset
,0.0,510300.SH→CASH,2020-12-14,77.42645388,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,5.6106126,103235.27183999999,0,18400,2020-12-11,0.0,
6.1627358,104150.23502000001,CASH→510300.SH,2021-01-06,78.112676265,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,16900,0,2021-01-05,0.25,510300.SH
,0.0,510300.SH→CASH,2021-01-08,80.42149595999999,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,6.344891199999999,107228.66127999999,0,16900,2021-01-07,0.0,
3.17,104927.0,CASH→159915.SZ,2021-01-22,78.69525,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,33100,0,2021-01-21,0.25,159915.SZ
,0.0,159915.SZ→CASH,2021-01-27,78.223575,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,3.151,104298.09999999999,0,33100,2021-01-26,0.0,
3.0,104700.0,CASH→159915.SZ,2021-02-23,78.525,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,34900,0,2021-02-22,0.25,159915.SZ
5.773913100000001,101043.47925,159915.SZ→510300.SH,2021-03-10,144.0208344375,159915.SZ,0.25,gate_open;momentum_switch;risk_tier_0.25,2.607,90984.3,17500,34900,2021-03-09,0.25,510300.SH
,0.0,510300.SH→CASH,2021-03-12,77.4074896875,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,5.8977135,103209.98625,0,17500,2021-03-11,0.0,
5.8553004,101882.22696,CASH→510300.SH,2021-03-18,76.41167022,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,17400,0,2021-03-17,0.25,510300.SH
2.831,101916.0,510300.SH→159915.SZ,2021-04-22,152.74395571500003,510300.SH,0.25,gate_open;momentum_switch;risk_tier_0.25,5.847276300000001,101742.60762000001,36000,17400,2021-04-21,0.25,159915.SZ
,0.0,159915.SZ→CASH,2021-04-30,79.407,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,2.941,105876.0,0,36000,2021-04-29,0.0,
2.945,102780.5,CASH→159915.SZ,2021-05-17,77.085375,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,34900,0,2021-05-14,0.25,159915.SZ
,0.0,159915.SZ→CASH,2021-07-21,88.0527,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,3.364,117403.59999999999,0,34900,2021-07-20,0.0,
2.197552,106361.5168,CASH→510500.SH,2021-07-26,79.7711376,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,48400,0,2021-07-23,0.25,510500.SH
,0.0,510500.SH→CASH,2021-07-28,76.34219967,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,2.1030908999999998,101789.59955999999,0,48400,2021-07-27,0.0,
3.435,105111.0,CASH→159915.SZ,2021-08-06,78.83325,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,30600,0,2021-08-05,0.25,159915.SZ
,0.0,159915.SZ→CASH,2021-10-08,72.72855,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,3.169,96971.4,0,30600,2021-09-30,0.0,
3.1,103230.0,CASH→159915.SZ,2021-10-14,77.4225,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,33300,0,2021-10-13,0.25,159915.SZ
,0.0,159915.SZ→CASH,2021-10-19,79.4205,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,3.18,105894.0,0,33300,2021-10-18,0.0,
3.287,103869.2,CASH→159915.SZ,2021-11-10,77.9019,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,31600,0,2021-11-09,0.25,159915.SZ
2.3220052,104490.234,159915.SZ→510500.SH,2021-12-17,158.3788755,159915.SZ,0.25,gate_open;momentum_switch;risk_tier_0.25,3.376,106681.59999999999,45000,31600,2021-12-16,0.25,510500.SH
,0.0,510500.SH→CASH,2022-01-26,71.89694999999999,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,2.13028,95862.59999999999,0,45000,2022-01-25,0.0,
2.1148635,102359.39339999999,CASH→510500.SH,2022-02-14,76.76954504999999,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,48400,0,2022-02-11,0.25,510500.SH
,0.0,510500.SH→CASH,2022-03-08,76.11835209,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,2.0969243,101491.13612,0,48400,2022-03-07,0.0,
4.94785,101925.70999999999,CASH→510300.SH,2022-03-24,76.4442825,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,20600,0,2022-03-23,0.25,510300.SH
,0.0,510300.SH→CASH,2022-04-11,75.63487245,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.895461,100846.4966,0,20600,2022-04-08,0.0,
1.8340029,101787.16095,CASH→510500.SH,2022-05-18,76.3403707125,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,55500,0,2022-05-17,0.25,510500.SH
,0.0,510500.SH→CASH,2022-09-05,82.0124721,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,1.9702696,109349.9628,0,55500,2022-09-02,0.0,
2.0149025000000003,103565.9885,CASH→510500.SH,2022-09-09,77.674491375,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,51400,0,2022-09-08,0.25,510500.SH
,0.0,510500.SH→CASH,2022-09-16,75.38448645,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,1.9554989999999999,100512.6486,0,51400,2022-09-15,0.0,
2.34,102726.0,CASH→159915.SZ,2022-10-20,77.0445,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,43900,0,2022-10-19,0.25,159915.SZ
,0.0,159915.SZ→CASH,2022-10-26,74.114175,159915.SZ,0.25,breadth_closed;cash;risk_tier_0.25,2.251,98818.9,0,43900,2022-10-25,0.0,
1.9696274,101829.73658,CASH→510500.SH,2022-11-08,76.372302435,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,51700,0,2022-11-07,0.25,510500.SH
,0.0,510500.SH→CASH,2022-12-21,73.58335627500001,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,1.897701,98111.14170000001,0,51700,2022-12-20,0.0,
1.9420128,100790.46432,CASH→510500.SH,2023-01-09,75.59284824,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,51900,0,2023-01-06,0.25,510500.SH
,0.0,510500.SH→CASH,2023-04-25,77.76764248500001,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,1.9978842,103690.18998000001,0,51900,2023-04-24,0.0,
4.74892,101151.996,CASH→510300.SH,2023-05-08,75.863997,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,21300,0,2023-05-05,0.25,510300.SH
,0.0,510300.SH→CASH,2023-05-15,74.31498112500002,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.651955000000001,99086.64150000003,0,21300,2023-05-12,0.0,
1.9689851999999999,100812.04224,CASH→510500.SH,2023-07-05,75.60903168,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,51200,0,2023-07-04,0.25,510500.SH
,0.0,510500.SH→CASH,2023-07-24,73.98144,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,1.9266,98641.92,0,51200,2023-07-21,0.0,
1.939444,100269.2548,CASH→510500.SH,2023-07-28,75.2019411,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,51700,0,2023-07-27,0.25,510500.SH
,0.0,510500.SH→CASH,2023-08-10,76.4096543925,510500.SH,0.25,breadth_closed;cash;risk_tier_0.25,1.9705906999999998,101879.53919,0,51700,2023-08-09,0.0,
4.582187500000001,100349.90625000001,CASH→510300.SH,2023-09-07,75.26242968750002,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,21900,0,2023-09-06,0.25,510300.SH
,0.0,510300.SH→CASH,2023-09-11,73.99996312500002,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.505325000000001,98666.61750000002,0,21900,2023-09-08,0.0,
4.3551475,100168.3925,CASH→510300.SH,2023-11-08,75.126294375,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,23000,0,2023-11-07,0.25,510300.SH
,0.0,510300.SH→CASH,2023-12-05,71.781001875,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.1612175,95708.0025,0,23000,2023-12-04,0.0,
4.1983128,99080.18208,CASH→510300.SH,2024-02-26,74.31013656,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,23600,0,2024-02-23,0.25,510300.SH
,0.0,510300.SH→CASH,2024-04-23,75.33628344,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.2562872,100448.37792,0,23600,2024-04-22,0.0,
4.3963920000000005,99358.45920000001,CASH→510300.SH,2024-05-06,74.5188444,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,22600,0,2024-04-30,0.25,510300.SH
,0.0,510300.SH→CASH,2024-05-28,74.33459450999999,510300.SH,0.25,breadth_closed;cash;risk_tier_0.25,4.385521799999999,99112.79267999998,0,22600,2024-05-27,0.0,
4.839654599999999,99212.9193,CASH→510300.SH,2024-09-30,74.409689475,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,20500,0,2024-09-27,0.25,510300.SH
,0.0,510300.SH→CASH,2024-10-09,79.572128625,510300.SH,0.25,overheat;cash;risk_tier_0.25,5.175423,106096.17150000001,0,20500,2024-10-08,0.0,
2.241,100845.0,CASH→159915.SZ,2024-10-10,75.63375,,0.0,gate_open;enter_leader;risk_tier_0.25,,0.0,45000,0,2024-10-09,0.25,159915.SZ
