benchmark_equity,strategy_asset,strategy_equity,strategy_executed_target_weight,strategy_shares,trade_date
481869.35800824995,510300.SH,410044.05812895263,0.25,28100,2017-01-26
479024.75000825,510300.SH,409436.1989289526,0.25,28100,2017-02-03
478882.51960825,510300.SH,409405.8059689526,0.25,28100,2017-02-06
478029.13720825,510300.SH,409223.4482089526,0.25,28100,2017-02-07
481300.43640824995,510300.SH,409922.4862889526,0.25,28100,2017-02-08
483007.20120825,510300.SH,410287.2018089526,0.25,28100,2017-02-09
485567.34840824996,510300.SH,410834.2750889526,0.25,28100,2017-02-10
488127.49560825,510300.SH,411381.34836895263,0.25,28100,2017-02-13
488696.41720825,510300.SH,411502.9202089526,0.25,28100,2017-02-14
486989.65240825,510300.SH,411138.2046889526,0.25,28100,2017-02-15
489123.10840825003,510300.SH,411594.09908895264,0.25,28100,2017-02-16
486278.50040824997,510300.SH,410986.2398889526,0.25,28100,2017-02-17
494243.40280825,510300.SH,412688.2456489526,0.25,28100,2017-02-20
494243.40280825,510300.SH,412688.2456489526,0.25,28100,2017-02-21
495807.93720824993,510300.SH,413022.5682089526,0.25,28100,2017-02-22
493674.48120825004,510300.SH,412566.6738089526,0.25,28100,2017-02-23
493247.79000825,510300.SH,412475.4949289526,0.25,28100,2017-02-24
489407.56920825,510300.SH,411654.8850089526,0.25,28100,2017-02-27
490118.72120825,510300.SH,411806.8498089526,0.25,28100,2017-02-28
490687.6428082499,510300.SH,411928.4216489526,0.25,28100,2017-03-01
488980.87800825,510300.SH,411563.7061289526,0.25,28100,2017-03-02
487131.88280825,510300.SH,411168.5976489526,0.25,28100,2017-03-03
489549.79960825,510300.SH,411685.2779689526,0.25,28100,2017-03-06
490260.95160825,510300.SH,411837.2427689526,0.25,28100,2017-03-07
490829.87320825,510300.SH,411958.8146089526,0.25,28100,2017-03-08
486420.73080824997,510300.SH,411016.6328489526,0.25,28100,2017-03-09
486847.42200824997,510300.SH,411107.8117289526,0.25,28100,2017-03-10
492109.94680825004,510300.SH,412232.3512489526,0.25,28100,2017-03-13
490972.10360825,510300.SH,411989.2075689526,0.25,28100,2017-03-14
491825.48600825,510300.SH,412171.5653289526,0.25,28100,2017-03-15
494812.32440825,510300.SH,412809.8174889526,0.25,28100,2017-03-16
489265.33880825,510300.SH,411624.4920489526,0.25,28100,2017-03-17
489549.79960825,510300.SH,411685.2779689526,0.25,28100,2017-03-20
492963.32920825,510300.SH,412414.7090089526,0.25,28100,2017-03-21
490403.18200825,510300.SH,411867.6357289526,0.25,28100,2017-03-22
491825.48600825,510300.SH,412171.5653289526,0.25,28100,2017-03-23
496519.08920825,510300.SH,413174.5330089526,0.25,28100,2017-03-24
494243.40280825,510300.SH,412688.2456489526,0.25,28100,2017-03-27
493532.25080825,510300.SH,412536.2808489526,0.25,28100,2017-03-28
492536.63800825004,510300.SH,412323.5301289526,0.25,28100,2017-03-29
487843.03480824997,510300.SH,411320.5624489526,0.25,28100,2017-03-30
491398.79480825,510300.SH,412080.3864489526,0.25,28100,2017-03-31
499505.92760825,510300.SH,413812.7851689526,0.25,28100,2017-04-05
498937.00600825,510300.SH,413691.2133289526,0.25,28100,2017-04-06
499932.61880824994,510300.SH,413903.96404895256,0.25,28100,2017-04-07
498652.54520825,510300.SH,413630.4274089526,0.25,28100,2017-04-10
499932.61880824994,510300.SH,413903.96404895256,0.25,28100,2017-04-11
498083.62360825,510300.SH,413508.8555689526,0.25,28100,2017-04-12
499932.61880824994,510300.SH,413903.96404895256,0.25,28100,2017-04-13
495807.93720824993,510300.SH,413022.5682089526,0.25,28100,2017-04-14
494101.17240825,510300.SH,412657.8526889526,0.25,28100,2017-04-17
492963.32920825,,412426.8357999926,0.0,0,2017-04-18
489123.10840825003,,412426.8357999926,0.0,0,2017-04-19
491825.48600825,,412426.8357999926,0.0,0,2017-04-20
492252.17720825,,412426.8357999926,0.0,0,2017-04-21
486989.65240825,,412426.8357999926,0.0,0,2017-04-24
488554.18680825003,,412426.8357999926,0.0,0,2017-04-25
489692.03000825003,,412426.8357999926,0.0,0,2017-04-26
489976.49080825,,412426.8357999926,0.0,0,2017-04-27
488127.49560825,,412426.8357999926,0.0,0,2017-04-28
487416.34360825,,412426.8357999926,0.0,0,2017-05-02
484998.42680824996,,412426.8357999926,0.0,0,2017-05-03
483149.43160825,,412426.8357999926,0.0,0,2017-05-04
480020.36280825,,412426.8357999926,0.0,0,2017-05-05
475895.68120825,,412426.8357999926,0.0,0,2017-05-08
476322.37240824994,,412426.8357999926,0.0,0,2017-05-09
474615.60760825,,412426.8357999926,0.0,0,2017-05-10
477033.52440825,,412426.8357999926,0.0,0,2017-05-11
480873.74520824995,,412426.8357999926,0.0,0,2017-05-12
482864.97080825,,412426.8357999926,0.0,0,2017-05-15
488554.18680825003,,412426.8357999926,0.0,0,2017-05-16
485282.88760824996,,412426.8357999926,0.0,0,2017-05-17
483149.43160825,,412426.8357999926,0.0,0,2017-05-18
484002.81400825,,412426.8357999926,0.0,0,2017-05-19
484429.50520824996,,412426.8357999926,0.0,0,2017-05-22
486562.96120824997,,412426.8357999926,0.0,0,2017-05-23
486562.96120824997,,412426.8357999926,0.0,0,2017-05-24
496945.78040825,,412426.8357999926,0.0,0,2017-05-25
496092.39800825,,412426.8357999926,0.0,0,2017-05-26
496376.85880824993,,412426.8357999926,0.0,0,2017-05-31
497514.70200825,,412426.8357999926,0.0,0,2017-06-01
496234.62840824993,,412426.8357999926,0.0,0,2017-06-02
492963.32920825,,412426.8357999926,0.0,0,2017-06-05
496803.55000825,,412426.8357999926,0.0,0,2017-06-06
503630.60920825,,412426.8357999926,0.0,0,2017-06-07
507186.36920825,,412426.8357999926,0.0,0,2017-06-08
510315.43800824997,,412426.8357999926,0.0,0,2017-06-09
509319.82520824997,510300.SH,412349.5868463926,0.25,26600,2017-06-12
510315.43800824997,510300.SH,412550.9807663926,0.25,26600,2017-06-13
505195.14360825,510300.SH,411515.2406063926,0.25,26600,2017-06-14
503488.37880825,510300.SH,411169.9938863926,0.25,26600,2017-06-15
502634.99640825,510300.SH,410997.3705263926,0.25,26600,2017-06-16
508324.21240824996,510300.SH,412148.1929263926,0.25,26600,2017-06-19
506759.67800824996,510300.SH,411831.7167663926,0.25,26600,2017-06-20
513160.04600825004,510300.SH,413126.39196639264,0.25,26600,2017-06-21
513728.96760825004,510300.SH,413241.47420639265,0.25,26600,2017-06-22
518707.03160825,510300.SH,414248.4438063926,0.25,26600,2017-06-23
525107.39960825,510300.SH,415543.1190063926,0.25,26600,2017-06-26
525391.86040825,510300.SH,415600.6601263926,0.25,26600,2017-06-27
521836.10040825,510300.SH,414881.39612639265,0.25,26600,2017-06-28
524965.16920825,510300.SH,415514.3484463926,0.25,26600,2017-06-29
524111.78680825,510300.SH,415341.7250863926,0.25,26600,2017-06-30
521836.10040825,510300.SH,414881.39612639265,0.25,26600,2017-07-03
517569.18840825,510300.SH,414018.2793263926,0.25,26600,2017-07-04
524254.01720824995,510300.SH,415370.49564639264,0.25,26600,2017-07-05
523827.32600824995,510300.SH,415284.1839663926,0.25,26600,2017-07-06
523542.86520825,510300.SH,415226.64284639264,0.25,26600,2017-07-07
524111.78680825,510300.SH,415341.7250863926,0.25,26600,2017-07-10
528378.69880825,510300.SH,416204.8418863926,0.25,26600,2017-07-11
525249.63000825,510300.SH,415571.88956639264,0.25,26600,2017-07-12
530654.38520825,510300.SH,416665.17084639263,0.25,26600,2017-07-13
534210.1452082499,510300.SH,417384.4348463926,0.25,26600,2017-07-14
526956.39480825,510300.SH,415917.13628639263,0.25,26600,2017-07-17
527240.8556082499,,415664.71777823265,0.0,0,2017-07-18
538192.59640825,,415664.71777823265,0.0,0,2017-07-19
540752.74360825,,415664.71777823265,0.0,0,2017-07-20
538050.36600825,,415664.71777823265,0.0,0,2017-07-21
540752.74360825,,415664.71777823265,0.0,0,2017-07-24
536628.0620082499,,415664.71777823265,0.0,0,2017-07-25
533641.2236082499,,415664.71777823265,0.0,0,2017-07-26
535205.7580082499,,415664.71777823265,0.0,0,2017-07-27
537196.9836082499,,415664.71777823265,0.0,0,2017-07-28
539188.20920825,,415664.71777823265,0.0,0,2017-07-31
543455.1212082499,510300.SH,416407.8686438326,0.25,25300,2017-08-01
543455.1212082499,510300.SH,416407.8686438326,0.25,25300,2017-08-02
538050.36600825,510300.SH,415368.0184038326,0.25,25300,2017-08-03
534779.0668082499,510300.SH,414738.6353638326,0.25,25300,2017-08-04
538050.36600825,510300.SH,415368.0184038326,0.25,25300,2017-08-07
538192.59640825,510300.SH,415395.3828838326,0.25,25300,2017-08-08
537765.9052082499,510300.SH,415313.2894438326,0.25,25300,2017-08-09
536628.0620082499,510300.SH,415094.3736038326,0.25,25300,2017-08-10
526387.47320825,510300.SH,413124.13104383263,0.25,25300,2017-08-11
532930.07160825,510300.SH,414382.8971238326,0.25,25300,2017-08-14
534352.3756082499,510300.SH,414656.5419238326,0.25,25300,2017-08-15
533498.9932082499,510300.SH,414492.3550438326,0.25,25300,2017-08-16
537623.6748082499,510300.SH,415285.9249638326,0.25,25300,2017-08-17
537908.13560825,510300.SH,415340.65392383264,0.25,25300,2017-08-18
540183.82200825,510300.SH,415778.48560383264,0.25,25300,2017-08-21
541037.2044082499,510300.SH,415942.6724838326,0.25,25300,2017-08-22
542459.50840825,510300.SH,416216.31728383264,0.25,25300,2017-08-23
539614.90040825,510300.SH,415669.0276838326,0.25,25300,2017-08-24
549002.1068082501,510300.SH,417475.0833638326,0.25,25300,2017-08-25
555260.24440825,510300.SH,418679.1204838326,0.25,25300,2017-08-28
554122.40120825,510300.SH,418460.20464383264,0.25,25300,2017-08-29
553553.47960825,510300.SH,418350.7467238326,0.25,25300,2017-08-30
552557.86680825,510300.SH,418159.19536383264,0.25,25300,2017-08-31
553269.01880825,510300.SH,418296.01776383264,0.25,25300,2017-09-01
555260.24440825,510300.SH,418679.1204838326,0.25,25300,2017-09-04
557251.47000825,510300.SH,419062.22320383263,0.25,25300,2017-09-05
555544.7052082499,510300.SH,418733.8494438326,0.25,25300,2017-09-06
553126.78840825,510300.SH,418268.6532838326,0.25,25300,2017-09-07
552557.86680825,510300.SH,418159.19536383264,0.25,25300,2017-09-08
553411.24920825,510300.SH,418323.38224383263,0.25,25300,2017-09-11
554833.55320825,510300.SH,418597.02704383264,0.25,25300,2017-09-12
555260.24440825,510300.SH,418679.1204838326,0.25,25300,2017-09-13
