population,signal_date,ts_code,streak,gain_bucket,horizon,target_date,price_date,gross_return,net_return,status
s7_control,2016-08-22,601988.SH,2,le_1_5,5,2016-08-29,2016-08-29,-0.005797101449275255,-0.0072971014492752544,valid
s7_control,2016-08-22,601988.SH,2,le_1_5,10,2016-09-05,2016-09-05,0.0028985507246375164,0.0013985507246375164,valid
s7_control,2016-08-22,601991.SH,2,le_1_5,1,2016-08-23,2016-08-23,-0.012369463080363574,-0.013869463080363574,valid
s7_control,2016-08-22,601991.SH,2,le_1_5,3,2016-08-25,2016-08-25,-0.022295398124781984,-0.023795398124781986,valid
s7_control,2016-08-22,601991.SH,2,le_1_5,5,2016-08-29,2016-08-29,-0.017332430602572835,-0.018832430602572836,valid
s7_control,2016-08-22,601991.SH,2,le_1_5,10,2016-09-05,2016-09-05,-0.027258365646991245,-0.028758365646991246,valid
s7_control,2016-09-05,000413.SZ,2,gt_1_5,1,2016-09-06,2016-09-06,-0.0006557377049180024,-0.0021557377049180025,valid
s7_control,2016-09-05,000413.SZ,2,gt_1_5,3,2016-09-08,2016-09-08,-0.06426229508196735,-0.06576229508196735,valid
s7_control,2016-09-05,000413.SZ,2,gt_1_5,5,2016-09-12,2016-09-12,0.007868852459016251,0.006368852459016252,valid
s7_control,2016-09-05,000413.SZ,2,gt_1_5,10,2016-09-21,2016-09-21,0.0701639344262297,0.0686639344262297,valid
s7_control,2016-09-05,000413.SZ,3,gt_1_5,1,2016-09-06,2016-09-06,-0.0006557377049180024,-0.0021557377049180025,valid
s7_control,2016-09-05,000413.SZ,3,gt_1_5,3,2016-09-08,2016-09-08,-0.06426229508196735,-0.06576229508196735,valid
s7_control,2016-09-05,000413.SZ,3,gt_1_5,5,2016-09-12,2016-09-12,0.007868852459016251,0.006368852459016252,valid
s7_control,2016-09-05,000413.SZ,3,gt_1_5,10,2016-09-21,2016-09-21,0.0701639344262297,0.0686639344262297,valid
s7_control,2016-09-05,000783.SZ,2,le_1_5,1,2016-09-06,2016-09-06,0.0063348416289590315,0.004834841628959032,valid
s7_control,2016-09-05,000783.SZ,2,le_1_5,3,2016-09-08,2016-09-08,0.0,-0.0015,valid
s7_control,2016-09-05,000783.SZ,2,le_1_5,5,2016-09-12,2016-09-12,-0.05429864253393679,-0.05579864253393679,valid
s7_control,2016-09-05,000783.SZ,2,le_1_5,10,2016-09-21,2016-09-21,-0.040723981900452566,-0.04222398190045257,valid
s7_control,2016-09-05,002010.SZ,2,le_1_5,1,2016-09-06,2016-09-06,-0.0005543237250553723,-0.0020543237250553723,valid
s7_control,2016-09-05,002010.SZ,2,le_1_5,3,2016-09-08,2016-09-08,0.0060975609756097615,0.004597560975609762,valid
s7_control,2016-09-05,002010.SZ,2,le_1_5,5,2016-09-12,2016-09-12,-0.007206208425720617,-0.008706208425720617,valid
s7_control,2016-09-05,002010.SZ,2,le_1_5,10,2016-09-21,2016-09-21,0.029933481152993435,0.028433481152993434,valid
s7_control,2016-09-05,300072.SZ,2,gt_1_5,1,2016-09-06,2016-09-06,0.0035956006768189663,0.0020956006768189663,valid
s7_control,2016-09-05,300072.SZ,2,gt_1_5,3,2016-09-08,2016-09-08,0.12309644670050757,0.12159644670050757,valid
s7_control,2016-09-05,300072.SZ,2,gt_1_5,5,2016-09-12,2016-09-12,0.15503384094754646,0.15353384094754646,valid
s7_control,2016-09-05,300072.SZ,2,gt_1_5,10,2016-09-21,2016-09-21,-0.05774111675126914,-0.05924111675126914,valid
s7_control,2016-09-05,300072.SZ,3,gt_1_5,1,2016-09-06,2016-09-06,0.0035956006768189663,0.0020956006768189663,valid
s7_control,2016-09-05,300072.SZ,3,gt_1_5,3,2016-09-08,2016-09-08,0.12309644670050757,0.12159644670050757,valid
s7_control,2016-09-05,300072.SZ,3,gt_1_5,5,2016-09-12,2016-09-12,0.15503384094754646,0.15353384094754646,valid
s7_control,2016-09-05,300072.SZ,3,gt_1_5,10,2016-09-21,2016-09-21,-0.05774111675126914,-0.05924111675126914,valid
s7_control,2016-09-05,600010.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.006896551724137945,0.005396551724137945,valid
s7_control,2016-09-05,600010.SH,2,le_1_5,3,2016-09-08,2016-09-08,0.010344827586207028,0.008844827586207029,valid
s7_control,2016-09-05,600010.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.034482758620689724,-0.035982758620689725,valid
s7_control,2016-09-05,600010.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.03103448275862064,-0.03253448275862064,valid
s7_control,2016-09-05,600016.SH,2,le_1_5,1,2016-09-06,2016-09-06,-0.0032085561497323667,-0.004708556149732366,valid
s7_control,2016-09-05,600016.SH,2,le_1_5,3,2016-09-08,2016-09-08,-0.0032085561497323667,-0.004708556149732366,valid
s7_control,2016-09-05,600016.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.0053475935828875,-0.0068475935828874995,valid
s7_control,2016-09-05,600016.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.002139037433154911,-0.003639037433154911,valid
s7_control,2016-09-05,600028.SH,2,le_1_5,1,2016-09-06,2016-09-06,0.002004008016031955,0.0005040080160319551,valid
s7_control,2016-09-05,600028.SH,2,le_1_5,3,2016-09-08,2016-09-08,0.0,-0.0015,valid
s7_control,2016-09-05,600028.SH,2,le_1_5,5,2016-09-12,2016-09-12,-0.01002004008016033,-0.01152004008016033,valid
s7_control,2016-09-05,600028.SH,2,le_1_5,10,2016-09-21,2016-09-21,-0.02601689001005214,-0.027516890010052142,valid
s7_control,2016-09-05,600036.SH,2,le_1_5,1,2016-09-06,2016-09-06,-0.012799999999999923,-0.014299999999999922,valid
